aerialWonPerGame,ap,assistTotal,goal,manOfTheMatch,minsPlayed,passSuccess,player_name,player_url,team_url,rank,rating,redCard,rgn,shotsPerGame,yellowCard,age,pos_AM(LR),pos_AM(L),pos_M(LR),pos_Midfielder,pos_D(CL),pos_AM(CR),pos_M(R),pos_FW,pos_Forward,pos_D(CR),pos_Goalkeeper,pos_AM(CLR),pos_Defender,pos_M(L),pos_M(C),pos_M(CLR),pos_M(CR),pos_D(L),pos_D(LR),pos_GK,pos_AM(C),pos_D(C),pos_AM(R),pos_DMC,pos_D(R),pos_AM(CL),pos_D(CLR),pos_M(CL),team
2.8,6,0.0,1.0,1.0,540.0,72.9,Antolin Alcaraz,https://www.whoscored.com/Players/9474,https://www.whoscored.com/Teams/838,40,7.16,0.0,py,0.3,2.0,34,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,Las Palmas
0.8,30,5.0,8.0,3.0,2735.0,85.5,Daniel Parejo,https://www.whoscored.com/Players/28186,https://www.whoscored.com/Teams/55,41,7.15,0.0,es,1.4,8.0,27,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,Valencia
1.7,23,2.0,2.0,0.0,1946.0,90.3,Sergio Ramos,https://www.whoscored.com/Players/9909,https://www.whoscored.com/Teams/52,42,7.15,2.0,es,0.8,7.0,30,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Real Madrid
1.4,12,2.0,1.0,0.0,1053.0,84.7,Tiago,https://www.whoscored.com/Players/8128,https://www.whoscored.com/Teams/63,43,7.14,0.0,pt,0.5,4.0,35,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,Atletico Madrid
2.0,30,1.0,2.0,1.0,2592.0,90.5,Gerard Piqué,https://www.whoscored.com/Players/12712,https://www.whoscored.com/Teams/65,44,7.14,0.0,es,0.4,12.0,29,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,Barcelona
1.8,28,1.0,5.0,5.0,2594.0,86.4,Bruno,https://www.whoscored.com/Players/14231,https://www.whoscored.com/Teams/839,45,7.14,1.0,es,0.8,5.0,32,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,Villarreal
0.7,10,0.0,0.0,0.0,925.0,75.6,Adrián Marín,https://www.whoscored.com/Players/243271,https://www.whoscored.com/Teams/839,46,7.14,0.0,es,0.1,1.0,19,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,Villarreal
2.6,7,1.0,1.0,1.0,641.0,63.4,Federico Ricca,https://www.whoscored.com/Players/303080,https://www.whoscored.com/Teams/69,47,7.14,0.0,uy,0.3,3.0,21,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,Malaga
1.9,14,3.0,1.0,0.0,1130.0,78.5,David Zurutuza,https://www.whoscored.com/Players/31096,https://www.whoscored.com/Teams/68,48,7.13,0.0,es,1.1,1.0,30,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Real Sociedad
0.4,34,0.0,0.0,1.0,3060.0,63.4,Keylor Navas,https://www.whoscored.com/Players/65901,https://www.whoscored.com/Teams/52,49,7.12,0.0,cr,0.0,0.0,29,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,Real Madrid
0.4,17,0.0,0.0,1.0,1530.0,52.4,Jaume,https://www.whoscored.com/Players/136810,https://www.whoscored.com/Teams/55,50,7.12,0.0,es,0.0,0.0,25,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,Valencia
1.0,6,0.0,3.0,0.0,482.0,71.0,Denis Cheryshev,https://www.whoscored.com/Players/110297,https://www.whoscored.com/Teams/55,51,7.12,0.0,ru,1.9,2.0,25,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Valencia
0.8,7,0.0,0.0,0.0,707.0,53.9,Raúl Lizoain,https://www.whoscored.com/Players/141028,https://www.whoscored.com/Teams/838,52,7.12,0.0,es,0.0,0.0,25,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,Las Palmas
0.2,30,6.0,7.0,2.0,2535.0,75.0,Pablo Sarabia,https://www.whoscored.com/Players/94868,https://www.whoscored.com/Teams/819,53,7.12,0.0,es,2.0,9.0,24,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,Getafe
1.1,29,6.0,6.0,3.0,2497.0,70.8,Rubén Rochina,https://www.whoscored.com/Players/91273,https://www.whoscored.com/Teams/925,54,7.11,0.0,es,2.2,10.0,25,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,Granada
1.1,25,4.0,1.0,2.0,2121.0,78.6,João Cancelo,https://www.whoscored.com/Players/128967,https://www.whoscored.com/Teams/55,55,7.1,1.0,pt,0.3,5.0,22,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,Valencia
0.1,35,8.0,17.0,2.0,3141.0,79.1,Lucas Pérez,https://www.whoscored.com/Players/135663,https://www.whoscored.com/Teams/59,56,7.1,0.0,es,2.8,3.0,27,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Deportivo La Coruna
2.0,18,1.0,2.0,1.0,1609.0,80.3,David García,https://www.whoscored.com/Players/79838,https://www.whoscored.com/Teams/838,57,7.1,0.0,es,0.5,2.0,34,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,Las Palmas
0.1,13,1.0,1.0,0.0,1228.0,78.4,Charly Musonda,https://www.whoscored.com/Players/303172,https://www.whoscored.com/Teams/54,58,7.09,0.0,be,0.9,2.0,19,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Real Betis
0.6,34,7.0,7.0,2.0,2921.0,77.8,Orellana,https://www.whoscored.com/Players/25714,https://www.whoscored.com/Teams/62,59,7.09,1.0,cl,2.3,9.0,30,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Celta Vigo
4.0,16,0.0,1.0,1.0,1338.0,69.6,Bernardo,https://www.whoscored.com/Players/67327,https://www.whoscored.com/Teams/830,60,7.09,1.0,co,0.8,5.0,27,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,Sporting Gijon
0.0,1,0.0,0.0,0.0,90.0,40.5,Jesús Fernández,https://www.whoscored.com/Players/75526,https://www.whoscored.com/Teams/925,61,7.09,0.0,es,0.0,0.0,28,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,Granada
